,season,win_pct,team
657,2010,.183,MIN
658,2009,.293,MIN
659,2008,.268,MIN
660,2007,.390,MIN
661,2006,.402,MIN
662,2005,.537,MIN
663,2004,.707,MIN
664,2003,.622,MIN
665,2002,.610,MIN
666,2001,.573,MIN
667,1900,.610,MIN
668,1999,.500,MIN
669,1998,.549,MIN
670,1997,.488,MIN
671,1996,.317,MIN
672,1995,.256,MIN
673,1994,.244,MIN
674,1993,.232,MIN
675,1992,.183,MIN
676,1991,.354,MIN
677,1990,.268,MIN
678,2020,.438,NOH
679,2019,.402,NOH
680,2018,.585,NOH
681,2017,.415,NOH
682,2016,.366,NOH
683,2015,.549,NOH
684,2014,.415,NOH
685,2013,.329,NOH
686,2012,.318,NOH
687,2011,.561,NOH
688,2010,.451,NOH
689,2009,.598,NOH
690,2008,.683,NOH
691,2007,.476,NOH
692,2006,.463,NOH
693,2005,.220,NOH
694,2004,.500,NOH
695,2003,.573,NOH
696,2020,.318,NYK
697,2019,.207,NYK
698,2018,.354,NYK
699,2017,.378,NYK
700,2016,.390,NYK
701,2015,.207,NYK
702,2014,.451,NYK
703,2013,.659,NYK
704,2012,.545,NYK
705,2011,.512,NYK
706,2010,.354,NYK
707,2009,.390,NYK
708,2008,.280,NYK
709,2007,.402,NYK
710,2006,.280,NYK
711,2005,.402,NYK
712,2004,.476,NYK
713,2003,.451,NYK
714,2002,.366,NYK
715,2001,.585,NYK
716,1900,.610,NYK
717,1999,.540,NYK
718,1998,.524,NYK
719,1997,.695,NYK
720,1996,.573,NYK
721,1995,.671,NYK
722,1994,.695,NYK
723,1993,.732,NYK
724,1992,.622,NYK
725,1991,.476,NYK
726,1990,.549,NYK
727,1989,.634,NYK
728,1988,.463,NYK
729,1987,.293,NYK
730,1986,.280,NYK
731,1985,.293,NYK
732,1984,.573,NYK
733,1983,.537,NYK
734,1982,.402,NYK
735,1981,.610,NYK
736,2020,.625,OKC
737,2019,.598,OKC
738,2018,.585,OKC
739,2017,.573,OKC
740,2016,.671,OKC
741,2015,.549,OKC
742,2014,.720,OKC
743,2013,.732,OKC
744,2012,.712,OKC
745,2011,.671,OKC
746,2010,.610,OKC
747,2009,.280,OKC
748,2008,.244,OKC
749,2007,.378,OKC
750,2006,.427,OKC
751,2005,.634,OKC
752,2004,.451,OKC
753,2003,.488,OKC
754,2002,.549,OKC
755,2001,.537,OKC
756,1900,.549,OKC
757,1999,.500,OKC
758,1998,.744,OKC
759,1997,.695,OKC
760,1996,.780,OKC
761,1995,.695,OKC
762,1994,.768,OKC
763,1993,.671,OKC
764,1992,.573,OKC
765,1991,.500,OKC
766,1990,.500,OKC
767,1989,.573,OKC
768,1988,.537,OKC
769,1987,.476,OKC
770,1986,.378,OKC
771,1985,.378,OKC
772,1984,.512,OKC
773,1983,.585,OKC
774,1982,.634,OKC
775,1981,.415,OKC
776,2020,.462,ORL
777,2019,.512,ORL
778,2018,.305,ORL
779,2017,.354,ORL
780,2016,.427,ORL
781,2015,.305,ORL
782,2014,.280,ORL
783,2013,.244,ORL
784,2012,.561,ORL
785,2011,.634,ORL
786,2010,.720,ORL
787,2009,.720,ORL
788,2008,.634,ORL
789,2007,.488,ORL
790,2006,.439,ORL
791,2005,.439,ORL
792,2004,.256,ORL
793,2003,.512,ORL
794,2002,.537,ORL
795,2001,.524,ORL
796,1900,.500,ORL
797,1999,.660,ORL
798,1998,.500,ORL
799,1997,.549,ORL
800,1996,.732,ORL
801,1995,.695,ORL
802,1994,.610,ORL
803,1993,.500,ORL
804,1992,.256,ORL
805,1991,.378,ORL
806,1990,.220,ORL
807,2020,.600,PHI
808,2019,.622,PHI
809,2018,.634,PHI
810,2017,.341,PHI
811,2016,.122,PHI
812,2015,.220,PHI
813,2014,.232,PHI
814,2013,.415,PHI
815,2012,.530,PHI
816,2011,.500,PHI
817,2010,.329,PHI
818,2009,.500,PHI
819,2008,.488,PHI
820,2007,.427,PHI
821,2006,.463,PHI
822,2005,.524,PHI
823,2004,.402,PHI
824,2003,.585,PHI
825,2002,.524,PHI
826,2001,.683,PHI
827,1900,.598,PHI
828,1999,.560,PHI
829,1998,.378,PHI
830,1997,.268,PHI
831,1996,.220,PHI
832,1995,.293,PHI
833,1994,.305,PHI
834,1993,.317,PHI
835,1992,.427,PHI
836,1991,.537,PHI
837,1990,.646,PHI
838,1989,.561,PHI
839,1988,.439,PHI
840,1987,.549,PHI
841,1986,.659,PHI
842,1985,.707,PHI
843,1984,.634,PHI
844,1983,.793,PHI
845,1982,.707,PHI
846,1981,.756,PHI
847,2020,.400,PHO
848,2019,.232,PHO
849,2018,.256,PHO
850,2017,.293,PHO
851,2016,.280,PHO
852,2015,.476,PHO
853,2014,.585,PHO
854,2013,.305,PHO
855,2012,.500,PHO
856,2011,.488,PHO
857,2010,.659,PHO
858,2009,.561,PHO
859,2008,.671,PHO
860,2007,.744,PHO
861,2006,.659,PHO
862,2005,.756,PHO
863,2004,.354,PHO
864,2003,.537,PHO
865,2002,.439,PHO
866,2001,.622,PHO
867,1900,.646,PHO
868,1999,.540,PHO
869,1998,.683,PHO
870,1997,.488,PHO
871,1996,.500,PHO
872,1995,.720,PHO
873,1994,.683,PHO
874,1993,.756,PHO
875,1992,.646,PHO
876,1991,.671,PHO
877,1990,.659,PHO
878,1989,.671,PHO
879,1988,.341,PHO
880,1987,.439,PHO
881,1986,.390,PHO
882,1985,.439,PHO
883,1984,.500,PHO
884,1983,.646,PHO
885,1982,.561,PHO
886,1981,.695,PHO
887,2020,.439,POR
888,2019,.646,POR
889,2018,.598,POR
890,2017,.500,POR
891,2016,.537,POR
892,2015,.622,POR
893,2014,.659,POR
894,2013,.402,POR
895,2012,.424,POR
896,2011,.585,POR
897,2010,.610,POR
898,2009,.659,POR
899,2008,.500,POR
900,2007,.390,POR
901,2006,.256,POR
902,2005,.329,POR
903,2004,.500,POR
904,2003,.610,POR
905,2002,.598,POR
906,2001,.610,POR
907,1900,.720,POR
908,1999,.700,POR
909,1998,.561,POR
910,1997,.598,POR
911,1996,.537,POR
912,1995,.537,POR
913,1994,.573,POR
914,1993,.622,POR
915,1992,.695,POR
916,1991,.768,POR
917,1990,.720,POR
918,1989,.476,POR
919,1988,.646,POR
920,1987,.598,POR
921,1986,.488,POR
922,1985,.512,POR
923,1984,.585,POR
924,1983,.561,POR
925,1982,.512,POR
926,1981,.549,POR
927,2020,.438,SAC
928,2019,.476,SAC
929,2018,.329,SAC
930,2017,.390,SAC
931,2016,.402,SAC
932,2015,.354,SAC
933,2014,.341,SAC
934,2013,.341,SAC
935,2012,.333,SAC
936,2011,.293,SAC
937,2010,.305,SAC
938,2009,.207,SAC
939,2008,.463,SAC
940,2007,.402,SAC
941,2006,.537,SAC
942,2005,.610,SAC
943,2004,.671,SAC
944,2003,.720,SAC
945,2002,.744,SAC
946,2001,.671,SAC
947,1900,.537,SAC
948,1999,.540,SAC
949,1998,.329,SAC
950,1997,.415,SAC
951,1996,.476,SAC
952,1995,.476,SAC
953,1994,.341,SAC
954,1993,.305,SAC
955,1992,.354,SAC
956,1991,.305,SAC
957,1990,.280,SAC
958,1989,.329,SAC
959,1988,.293,SAC
960,1987,.354,SAC
961,1986,.451,SAC
962,1985,.378,SAC
963,1984,.463,SAC
964,1983,.549,SAC
965,1982,.366,SAC
966,1981,.488,SAC
967,2020,.429,SAS
968,2019,.585,SAS
969,2018,.573,SAS
970,2017,.744,SAS
971,2016,.817,SAS
972,2015,.671,SAS
973,2014,.756,SAS
974,2013,.707,SAS
975,2012,.758,SAS
976,2011,.744,SAS
977,2010,.610,SAS
978,2009,.659,SAS
979,2008,.683,SAS
980,2007,.707,SAS
981,2006,.768,SAS
982,2005,.720,SAS
983,2004,.695,SAS
984,2003,.732,SAS
985,2002,.707,SAS
986,2001,.707,SAS
987,1900,.646,SAS
988,1999,.740,SAS
989,1998,.683,SAS
990,1997,.244,SAS
991,1996,.720,SAS
992,1995,.756,SAS
993,1994,.671,SAS
994,1993,.598,SAS
995,1992,.573,SAS
996,1991,.671,SAS
997,1990,.683,SAS
998,1989,.256,SAS
999,1988,.378,SAS
1000,1987,.341,SAS
1001,1986,.427,SAS
1002,1985,.500,SAS
1003,1984,.451,SAS
1004,1983,.646,SAS
1005,1982,.585,SAS
1006,1981,.634,SAS
1007,2020,.719,TOR
1008,2019,.707,TOR
1009,2018,.720,TOR
1010,2017,.622,TOR
1011,2016,.683,TOR
1012,2015,.598,TOR
1013,2014,.585,TOR
1014,2013,.415,TOR
1015,2012,.348,TOR
1016,2011,.268,TOR
1017,2010,.488,TOR
1018,2009,.402,TOR
1019,2008,.500,TOR
1020,2007,.573,TOR
1021,2006,.329,TOR
1022,2005,.402,TOR
1023,2004,.402,TOR
1024,2003,.293,TOR
1025,2002,.512,TOR
1026,2001,.573,TOR
1027,1900,.549,TOR
1028,1999,.460,TOR
1029,1998,.195,TOR
1030,1997,.366,TOR
1031,1996,.256,TOR
1032,2020,.641,UTA
1033,2019,.610,UTA
1034,2018,.585,UTA
1035,2017,.622,UTA
1036,2016,.488,UTA
1037,2015,.463,UTA
1038,2014,.305,UTA
1039,2013,.524,UTA
1040,2012,.545,UTA
1041,2011,.476,UTA
1042,2010,.646,UTA
1043,2009,.585,UTA
1044,2008,.659,UTA
1045,2007,.622,UTA
1046,2006,.500,UTA
1047,2005,.317,UTA
1048,2004,.512,UTA
1049,2003,.573,UTA
1050,2002,.537,UTA
1051,2001,.646,UTA
1052,1900,.671,UTA
1053,1999,.740,UTA
1054,1998,.756,UTA
1055,1997,.780,UTA
1056,1996,.671,UTA
1057,1995,.732,UTA
1058,1994,.646,UTA
1059,1993,.573,UTA
1060,1992,.671,UTA
1061,1991,.659,UTA
